id,name,slug,batch,website,yc_url,location,region,teamSize,oneLiner,github_org,stage,commit_velocity_30d,commit_velocity_90d,acceleration_ratio,active_repos,contributors,commits_per_employee,stabilized_efficiency,total_stars,total_forks,pr_merge_rate,issue_close_rate,founder_linkedin,founder_twitter,last_scored,open_jobs,hiring_intensity,best_headcount,log_commit,log_eff,log_accel,log_repos,log_contrib,log_stars,log_forks,log_pr,log_issues,log_hiring,log_commit_z,log_eff_z,log_accel_z,log_repos_z,log_contrib_z,log_stars_z,log_forks_z,log_pr_z,log_issues_z,log_hiring_z,raw_score,final_score
29256,Momentic,momentic,W24,https://momentic.ai,https://www.ycombinator.com/companies/momentic,"San Francisco, CA, USA",United States of America,12.0,The AI-native automated testing platform,momentic-ai,Pre-A,132,222,1.47,3,1,18.5,64.09,23,2,0.95,0.0,https://linkedin.com/in/hungweiwu,https://x.com/MomenticAI,2026-03-23T09:06:09.198840+00:00,5.0,41.7,12.0,5.407171771460119,4.175770927584296,0.9042181506398859,1.3862943611198906,0.6931471805599453,3.1780538303479458,1.0986122886681096,0.6678293725756554,0.0,3.754198920234579,0.6827121888815003,1.0831726851170786,-0.08529892032747984,-0.8603681444337994,-2.5112834472267203,-0.8018555154004453,-1.3333849403322566,0.9251575406803325,-1.2082267680458811,0.3035427150798634,-0.0604,40.0
29286,PointOne,pointone,W24,https://pointone.com/,https://www.ycombinator.com/companies/pointone,"New York, NY, USA",United States of America,15.0,AI Time Platform for Law Firms,PointOneNav,Series A (low traction),13,89,0.17,5,8,5.93,22.98,60,29,0.98,0.75,https://linkedin.com/in/katon-luaces,https://x.com/PointOneAI,2026-03-23T09:06:09.198840+00:00,18.0,120.0,15.0,4.499809670330265,3.177220149599368,0.15700374880966475,1.791759469228055,2.1972245773362196,4.110873864173311,3.4011973816621555,0.6830968447064438,0.5596157879354227,4.795790545596741,-1.0671306190270846,-0.7864585240897563,-1.0175722172623138,0.6708396838285234,-0.39988902616235966,-0.46605444795756634,-0.2695976810497992,1.121459250746094,1.062290060452356,1.3049584333127344,-0.0768,39.1
27839,Cosine,cosine,W23,http://www.cosine.sh,https://www.ycombinator.com/companies/cosine,"London, UK",United Kingdom,12.0,Fully Agentic SWE,CosineAI,Pre-A,103,104,103.0,3,4,8.67,30.02,0,1,0.67,0.0,https://linkedin.com/in/alistair-pullen-616129226,https://x.com/cosine_ai,2026-03-23T09:06:09.198840+00:00,18.0,150.0,12.0,4.653960350157523,3.4346321577483927,4.6443908991413725,1.3862943611198906,1.6094379124341003,0.0,0.6931471805599453,0.5128236264286637,0.0,5.017279836814924,-0.7698518831243343,-0.30449452719496356,4.5811839135293155,-0.8603681444337994,-1.2250124458150538,-1.945906704186943,-1.520708578186697,-1.067830740419126,-1.2082267680458811,1.5179045172148828,-0.1297,36.3
27690,Credal.ai,credal-ai,W23,https://credal.ai,https://www.ycombinator.com/companies/credal-ai,"New York, NY, USA",United States of America,14.0,Connect AI to every tool. Enterprise security built in.,Credal-ai,Pre-A,55,131,0.72,3,18,9.36,35.01,85,11,0.66,0.0,https://linkedin.com/in/ravin-thambapillai-77aa0a11,https://x.com/credal_ai,2026-03-23T09:06:09.198840+00:00,14.0,100.0,14.0,4.882801922586371,3.583796677660784,0.5423242908253616,1.3862943611198906,2.9444389791664403,4.454347296253507,2.4849066497880004,0.5068176023684519,0.0,4.61512051684126,-0.3285321727612019,-0.02520713602458627,-0.5368212424392773,-0.8603681444337994,0.649035931253208,-0.3424092206377683,-0.6929211922338634,-1.1450532683933639,-1.2082267680458811,1.1312571455874074,-0.1761,33.8
28098,Resend,resend,W23,https://resend.com,https://www.ycombinator.com/companies/resend,Unknown,Remote,23.0,Email for developers,resend,Series A,19,158,0.14,3,13,6.87,32.95,579,89,0.75,0.2,https://linkedin.com/in/zenorocha,https://x.com/zenorocha,2026-03-23T09:06:09.198840+00:00,6.0,26.1,23.0,5.0689042022202315,3.5248888540047054,0.1310282624064041,1.3862943611198906,2.639057329615259,6.363028103540465,4.499809670330265,0.5596157879354227,0.18232155679395462,3.299533727885655,0.03036504715486304,-0.13550288462548463,-1.0499809239057334,-0.8603681444337994,0.2203471466602268,0.3446869278725745,0.2379578308538377,-0.46619995028152067,-0.4684975255491688,-0.133585290815223,-0.185,33.3
26303,Massdriver,massdriver,W22,https://massdriver.cloud,https://www.ycombinator.com/companies/massdriver,"Los Angeles, CA, USA",United States of America,11.0,"Deploy secure, scalable cloud infrastructure in minutes not days",massdriver-cloud,Pre-A,45,112,0.67,5,3,10.18,33.77,116,14,0.9,0.32,https://linkedin.com/in/coryodaniel,https://x.com/massdriver,2026-03-23T09:06:09.198840+00:00,6.0,54.5,11.0,4.727387818712341,3.5487549460197703,0.5128236264286637,1.791759469228055,1.3862943611198906,4.762173934797756,2.70805020110221,0.6418538861723948,0.2776317365982795,4.0163830207523885,-0.6282474149703423,-0.09081733486985588,-0.5736281904738879,0.6708396838285234,-1.5382569971600348,-0.2315962984639036,-0.5898295550989958,0.5911774058505922,-0.08179762923051008,0.5556139423595479,-0.1914,33.0
28216,Escape,escape,W23,https://escape.tech,https://www.ycombinator.com/companies/escape,"New York, NY, USA",United States of America,29.0,Offensive security for the teams that are 100x outnumbered,Escape-Technologies,Series A,52,146,0.55,5,11,5.03,27.11,594,49,0.74,0.75,https://linkedin.com/in/tkalos,https://x.com/escapetechhq,2026-03-23T09:06:09.198840+00:00,3.0,10.3,29.0,4.990432586778736,3.3361253849184407,0.4382549309311553,1.791759469228055,2.4849066497880004,6.38856140554563,3.912023005428146,0.5538851132264376,0.5596157879354227,2.424802725718295,-0.12096703045151487,-0.4889331565181347,-0.6666649459610868,0.6708396838285234,0.003953438405488038,0.35387852942246256,-0.0335978077201754,-0.5398821705972084,1.062290060452356,-0.9745764753319098,-0.2046,32.3
29254,Reducto,reducto,W24,https://reducto.ai,https://www.ycombinator.com/companies/reducto,"San Francisco, CA, USA",United States of America,30.0,The most accurate API to parse documents,reductoai,Series A (low traction),93,131,2.45,3,5,4.37,23.92,38,13,0.94,0.0,https://linkedin.com/in/aditabraham,https://x.com/reductoai,2026-03-23T09:06:09.198840+00:00,13.0,43.3,30.0,4.882801922586371,3.2156706939192525,1.2383742310432684,1.3862943611198906,1.791759469228055,3.6635616461296463,2.639057329615259,0.6626879730752367,0.0,3.7909846770510898,-0.3285321727612019,-0.7144658530545217,0.3316159437402315,-0.8603681444337994,-0.9690730116611974,-0.627080063673947,-0.6217040503749541,0.8590519335819472,-1.2082267680458811,0.33890958457666587,-0.3266,25.7
29380,Conduit,conduit-ai,W24,https://conduit.ai/?utm_source=referral&utm_medium=organic&utm_campaign=ycombinator,https://www.ycombinator.com/companies/conduit-ai,"San Francisco, CA, USA",United States of America,18.0,Conversational AI agents for Customer Service.,conduitxyz,Series A (low traction),43,117,0.58,4,16,6.5,27.58,7,13,0.66,1.0,https://linkedin.com/in/colerubin,https://x.com/0xpunnk,2026-03-23T09:06:09.198840+00:00,3.0,16.7,18.0,4.770684624465665,3.3527071725017215,0.4574248470388754,1.6094379124341003,2.833213344056216,2.0794415416798357,2.639057329615259,0.5068176023684519,0.6931471805599453,2.8735646395797834,-0.5447497638578158,-0.4578863352110583,-0.6427473115472776,-0.017683667358093024,0.49289956090789977,-1.1973392806104888,-0.6217040503749541,-1.1450532683933639,1.6040640429293662,-0.5431240487353496,-0.3546,24.2
26290,Mono,mono-2,W22,https://mono.la,https://www.ycombinator.com/companies/mono-2,"Bogotá, Bogota, Colombia",Colombia,30.0,Embedded finance infrastructure for LatAm enterprises.,mono,Series B/C,38,117,0.48,5,7,3.9,21.36,6105,1615,0.85,0.41,https://linkedin.com/in/sebastian-ortiz-v,https://x.com/juanpoveda93,2026-03-23T09:06:09.198840+00:00,1.0,3.3,30.0,4.770684624465665,3.1072736482868986,0.3920420877760237,1.791759469228055,2.0794415416798357,8.717027173294824,7.38770923908104,0.6151856390902335,0.3435897043900769,1.4586150226995167,-0.5447497638578158,-0.9174224817690261,-0.7243230954071358,0.6708396838285234,-0.5652305470933497,1.1920908983270124,1.57215858489838,0.24829009210023142,0.1858121828466686,-1.9034967248873897,-0.4102,21.2
