id,name,slug,batch,website,yc_url,location,region,teamSize,oneLiner,github_org,commit_velocity_30d,commit_velocity_90d,acceleration_ratio,active_repos,contributors,commits_per_employee,stabilized_efficiency,total_stars,total_forks,pr_merge_rate,issue_close_rate,founder_linkedin,founder_twitter,open_jobs,hiring_intensity,best_headcount,log_commit,log_eff,log_accel,log_repos,log_contrib,log_stars,log_forks,log_pr,log_issues,log_hiring,log_commit_z,log_eff_z,log_accel_z,log_repos_z,log_contrib_z,log_stars_z,log_forks_z,log_pr_z,log_issues_z,log_hiring_z,raw_score,final_score
25643,Mintlify,mintlify,W22,https://mintlify.com,https://www.ycombinator.com/companies/mintlify,"San Francisco, CA, USA",United States of America,35.0,The intelligent documentation platform,mintlify,154,212,2.66,5,16,6.06,35.83,2162,753,0.88,0.53,https://linkedin.com/in/han-y-wang,https://x.com/hahnbeeIee,24.0,68.6,35.0,5.3612921657094255,3.606312730456974,1.297463147413275,1.791759469228055,2.833213344056216,7.679251425953058,6.625392368007956,0.6312717768418579,0.4252677354043441,4.242764567340374,0.7597925358716464,0.24251663086461064,0.28434152053458556,0.7479151931623653,0.48639521935634994,0.8490621160643872,1.1727856644179102,0.3131871211933637,0.6274712853973952,0.6180212648965778,0.5624,69.0
28416,Pierre,pierre,W23,https://pierre.co,https://www.ycombinator.com/companies/pierre,"San Francisco, CA, USA",United States of America,10.0,"Pierre is a new, opinionated, git platform.",pierrecomputer,123,185,1.98,4,11,18.5,58.5,1908,50,0.85,0.7,https://linkedin.com/in/jacob-thornton-13a6a5162,https://x.com/pierredotco,5.0,50.0,10.0,5.225746673713202,4.085976312551584,1.091923300517313,1.6094379124341003,2.4849066497880004,7.554334823725748,3.9318256327243257,0.6151856390902335,0.5306282510621704,3.9318256327243257,0.5320378571854244,1.0204665072760293,0.09197615147593788,0.21901981013867375,0.05496175483695642,0.8096342134447359,0.09843107425316827,0.17679431444226928,1.0328935982754381,0.3285857946349101,0.5108,67.0
29325,Respan,respan,W24,https://respan.ai,https://www.ycombinator.com/companies/respan,"San Francisco, CA, USA",United States of America,10.0,"Self-driving observability, evals, and gateway for AI agents",respanai,159,293,1.19,5,6,29.3,92.65,36,13,0.89,0.0,https://linkedin.com/in/hanheli,https://x.com/keywordsai,6.0,60.0,10.0,5.683579767338681,4.539564428890097,0.7839015438284094,1.791759469228055,1.9459101490553132,3.6109179126442243,2.639057329615259,0.636576829071551,0.0,4.110873864173311,1.3013266590106827,1.7561254820648082,-0.19630234925460838,0.7479151931623653,-0.612671487652099,-0.4350414756672719,-0.4172018010238058,0.35816814614423687,-1.0089389751595421,0.49525166789696634,0.4471,64.5
30740,Metis,metis,S25,https://withmetis.ai,https://www.ycombinator.com/companies/metis,"San Francisco, CA, USA",United States of America,13.0,Infrastructure to build reliable agents,MetisProtocol,2,129,0.02,4,48,9.92,35.78,28,27,0.83,0.96,https://linkedin.com/in/aryan-shah1,,12.0,92.3,13.0,4.867534450455582,3.604954219176175,0.019802627296179712,1.6094379124341003,3.8918202981106265,3.367295829986474,3.332204510175204,0.6043159668533296,0.6729444732424258,4.535820107853298,-0.06985976853413292,0.24031330811414078,-0.911424853702299,0.21901981013867375,1.7976489887149074,-0.511936840893003,-0.14073348659909887,0.08463141445056253,1.5805197331338499,0.8908100949151895,0.3393,60.2
28098,Resend,resend,W23,https://resend.com,https://www.ycombinator.com/companies/resend,Unknown,Remote,23.0,Email for developers,resend,97,173,1.28,5,21,7.52,36.07,1411,150,0.78,0.5,https://linkedin.com/in/zenorocha,https://x.com/resend,6.0,26.1,23.0,5.159055299214529,3.612808017162641,0.8241754429663495,1.791759469228055,3.091042453358316,7.252762418053187,5.017279836814924,0.5766133643039938,0.4054651081081644,3.299533727885655,0.41997752713393993,0.25305111311123996,-0.15860988432335807,0.7479151931623653,0.8057577458615003,0.7144477671948226,0.531374758663332,-0.1502562742136965,0.5512717061778654,-0.2599789827082899,0.2796,57.9
28115,Vellum,vellum,W23,https://www.vellum.ai/,https://www.ycombinator.com/companies/vellum,"New York, NY, USA",United States of America,23.0,The AI Product Development Platform,vellum-ai,63,241,0.35,5,7,10.48,50.25,94,31,0.73,0.0,https://linkedin.com/in/akash-sharma53,,24.0,104.3,23.0,5.488937726156687,3.9367156180185177,0.30010459245033805,1.791759469228055,2.0794415416798357,4.553876891600541,3.4657359027997265,0.5481214085096876,0.0,4.6568134191399295,0.9742731001252967,0.7783857173231695,-0.6490893903406048,0.7479151931623653,-0.44727153327242736,-0.13741174404071793,-0.08747322661814833,-0.39183681272556603,-1.0089389751595421,1.003435926073984,0.2526,56.8
30303,AfterQuery,afterquery,W25,https://afterquery.com,https://www.ycombinator.com/companies/afterquery,"San Francisco, CA, USA",United States of America,20.0,Research lab investigating the boundaries of AI capabilities.,AfterQuery,105,125,5.25,5,7,6.25,27.95,11,18,0.91,0.5,https://linkedin.com/in/danny1898,https://x.com/spencermateega,30.0,150.0,20.0,4.836281906951478,3.3655702040190043,1.8325814637483102,1.791759469228055,2.0794415416798357,2.4849066497880004,2.9444389791664403,0.6471032420585385,0.4054651081081644,5.017279836814924,-0.12237286136427096,-0.14793539776667788,0.7851603834771831,0.7479151931623653,-0.44727153327242736,-0.7904486963963303,-0.29539743930159845,0.447420584142999,0.5512717061778654,1.3389737294762218,0.2205,55.5
25174,GrowthBook,growthbook,W22,https://www.growthbook.io,https://www.ycombinator.com/companies/growthbook,"Palo Alto, CA, USA",United States of America,25.0,Open source feature flagging and A/B testing,growthbook,118,172,2.19,5,19,6.88,34.4,7433,741,0.85,0.79,https://linkedin.com/in/grahammcnicoll,https://x.com/growth_book,1.0,4.0,25.0,5.153291594497779,3.5667118201397288,1.1600209167967532,1.791759469228055,2.995732273553991,8.913819350857198,6.60934924316738,0.6151856390902335,0.5822156198526637,1.6094379124341003,0.4102928766415268,0.17828927561585628,0.1557089180680981,0.7479151931623653,0.687700867387377,1.2387334892249293,1.1663867122080835,0.17679431444226928,1.2313993690544822,-1.833193600351899,0.2031,54.8
28216,Escape,escape,W23,https://escape.tech,https://www.ycombinator.com/companies/escape,"New York, NY, USA",United States of America,29.0,The only DAST that works with modern stack and tests business logic,Escape-Technologies,34,141,0.32,5,8,4.86,26.18,620,53,0.76,0.6,https://linkedin.com/in/tkalos,https://x.com/escapetechhq,35.0,120.7,29.0,4.955827057601261,3.3024814087229974,0.2776317365982795,1.791759469228055,2.1972245773362196,6.431331081933479,3.9889840465642745,0.5653138090500605,0.4700036292457356,4.801558999993482,0.0784967284225722,-0.2502569463177479,-0.6701218046148607,0.7479151931623653,-0.3013784339692194,0.4551762680363461,0.12122924868526327,-0.24606411074471315,0.799612902554489,1.138171401753085,0.1816,54.0
27881,Inkeep,inkeep,W23,https://inkeep.com,https://www.ycombinator.com/companies/inkeep,"San Francisco, CA, USA",United States of America,17.0,Build AI Agent teammates and automations in code or no-code,inkeep,121,131,12.1,4,17,7.71,31.77,976,103,0.43,0.0,https://linkedin.com/in/edwinngomez,https://x.com/robert_inkeep,11.0,64.7,17.0,4.882801922586371,3.489513462710723,2.5726122302071057,1.6094379124341003,2.8903717578961645,6.884486652042782,4.6443908991413725,0.3576744442718159,0.0,4.185098925490565,-0.04420610673920261,0.05308391322665219,1.4777574329274366,0.21901981013867375,0.5571950429463397,0.598207485434572,0.3826444760371433,-2.0066182096463794,-1.0089389751595421,0.5643435799603057,0.0792,50.0
