id,name,slug,batch,website,yc_url,location,region,teamSize,oneLiner,github_org,stage,commit_velocity_30d,commit_velocity_90d,acceleration_ratio,active_repos,contributors,commits_per_employee,stabilized_efficiency,total_stars,total_forks,pr_merge_rate,issue_close_rate,founder_linkedin,founder_twitter,last_scored,open_jobs,hiring_intensity,best_headcount,log_commit,log_eff,log_accel,log_repos,log_contrib,log_stars,log_forks,log_pr,log_issues,log_hiring,log_commit_z,log_eff_z,log_accel_z,log_repos_z,log_contrib_z,log_stars_z,log_forks_z,log_pr_z,log_issues_z,log_hiring_z,raw_score,final_score
28115,Vellum,vellum,W23,https://www.vellum.ai/,https://www.ycombinator.com/companies/vellum,"New York, NY, USA",United States of America,23.0,The AI Product Development Platform,vellum-ai,Series A (low traction),144,298,0.94,5,19,12.96,62.14,93,27,0.8,0.0,https://linkedin.com/in/akash-sharma53,,2026-03-09T08:55:10.718847+00:00,24.0,104.3,23.0,5.700443573390686,4.145354483129846,0.6626879730752367,1.791759469228055,2.995732273553991,4.543294782270004,3.332204510175204,0.5877866649021191,0.0,4.6568134191399295,1.2173854625695533,1.030219691332446,-0.39997745632056075,0.704709545645273,0.7106106665108091,-0.24623593827314888,-0.2506767308211363,-0.03130154254531728,-1.3133346070545804,1.033385894397758,0.4476,73.1
28416,Pierre,pierre,W23,https://pierre.co,https://www.ycombinator.com/companies/pierre,"San Francisco, CA, USA",United States of America,10.0,"Pierre is a new, opinionated, git platform.",pierrecomputer,Pre-A,95,194,0.96,4,12,19.4,61.35,1978,55,0.89,0.6,https://linkedin.com/in/jacob-thornton-13a6a5162,https://x.com/fat,2026-03-09T08:55:10.718847+00:00,5.0,50.0,10.0,5.272999558563747,4.132763672126045,0.6729444732424258,1.6094379124341003,2.5649493574615367,7.590346945602565,4.02535169073515,0.636576829071551,0.4700036292457356,3.9318256327243257,0.4869145104932081,1.0085363924043473,-0.3882508156173264,0.05150683972820668,0.1419132042889098,0.8193768084620234,0.06183558427895033,0.3855193850589055,0.577148491150459,0.3748537625243549,0.4458,73.0
25174,GrowthBook,growthbook,W22,https://www.growthbook.io,https://www.ycombinator.com/companies/growthbook,"Palo Alto, CA, USA",United States of America,25.0,Open source feature flagging and A/B testing,growthbook,Series B/C,155,247,1.68,5,28,9.88,49.4,7454,760,0.85,0.76,https://linkedin.com/in/grahammcnicoll,https://x.com/growth_book,2026-03-09T08:55:10.718847+00:00,1.0,4.0,25.0,5.5134287461649825,3.919991175077323,0.9858167945227653,1.791759469228055,3.367295829986474,8.916640227198839,6.634633357861686,0.6151856390902335,0.5653138090500605,1.6094379124341003,0.8977906287261967,0.6421096661360517,-0.0305321749665393,0.704709545645273,1.2011297741718616,1.2832070781848979,1.2382562311655114,0.20277157507803306,0.9605120926105519,-1.7346534114387324,0.3916,70.3
29325,Respan,respan,W24,https://respan.ai,https://www.ycombinator.com/companies/respan,"San Francisco, CA, USA",United States of America,10.0,"Self-driving observability, evals, and gateway for AI agents",respanai,Pre-A,162,297,1.2,5,6,29.7,93.92,36,13,0.91,0.0,https://linkedin.com/in/hanheli,https://x.com/andydy42,2026-03-09T08:55:10.718847+00:00,6.0,60.0,10.0,5.697093486505405,4.553034431567562,0.7884573603642702,1.791759469228055,1.9459101490553132,3.6109179126442243,2.639057329615259,0.6471032420585385,0.0,4.110873864173311,1.2116604060200522,1.7323068075871975,-0.25618060630708994,0.704709545645273,-0.6753105380772266,-0.5723060623722453,-0.5631890459212225,0.4754479454618693,-1.3133346070545804,0.5374896244982709,0.3881,70.1
25542,Elementary,elementary,W22,http://elementary-data.com/,https://www.ycombinator.com/companies/elementary,"Tel Aviv-Yafo, Israel",Israel,12.0,Open-source data observability for data teams,elementary,Pre-A,134,187,2.53,5,19,15.58,53.98,534,136,0.93,0.62,https://linkedin.com/in/maayansa,https://x.com/MaayanSalom,2026-03-09T08:55:10.718847+00:00,1.0,8.3,12.0,5.236441962829949,4.0069694827371,1.2612978709452054,1.791759469228055,2.995732273553991,6.282266746896006,4.919980925828125,0.6575200029167942,0.4824261492442927,2.2300144001592104,0.4244402195100928,0.7918995918745769,0.2844356552959305,0.704709545645273,0.7106106665108091,0.36191600412545766,0.46518809187952925,0.5644397329969851,0.627115262964699,-1.1709617670972192,0.2975,65.6
30303,AfterQuery,afterquery,W25,https://afterquery.com,https://www.ycombinator.com/companies/afterquery,"San Francisco, CA, USA",United States of America,20.0,Research lab investigating the boundaries of AI capabilities.,AfterQuery,Series A (low traction),103,125,4.68,5,8,6.25,27.95,11,18,0.91,0.5,https://linkedin.com/in/danny1898,https://x.com/spencermateega,2026-03-09T08:55:10.718847+00:00,33.0,165.0,20.0,4.836281906951478,3.3655702040190043,1.7369512327330598,1.791759469228055,2.1972245773362196,2.4849066497880004,2.9444389791664403,0.6471032420585385,0.4054651081081644,5.111987788356544,-0.25940441712335516,-0.3126878956600539,0.828267955013075,0.704709545645273,-0.34353814821665657,-0.9660938580346073,-0.4255046854175453,0.4754479454618693,0.3175569139757727,1.4468369253679771,0.1581,58.6
28216,Escape,escape,W23,https://escape.tech,https://www.ycombinator.com/companies/escape,"New York, NY, USA",United States of America,29.0,The only DAST that works with modern stack and tests business logic,Escape-Technologies,Series A,38,150,0.34,5,9,5.17,27.85,593,49,0.77,0.6,https://linkedin.com/in/tkalos,https://x.com/escapetechhq,2026-03-09T08:55:10.718847+00:00,39.0,134.5,29.0,5.017279836814924,3.3621099929541085,0.29266961396282,1.791759469228055,2.302585092994046,6.386879319362645,3.912023005428146,0.5709795465857378,0.4700036292457356,4.908971640319756,0.049907973657760396,-0.31864690742282303,-0.8230333018995925,0.704709545645273,-0.20444661130868658,0.3985010327740271,0.010740216937298222,-0.17488701240887414,0.577148491150459,1.2624301542796263,0.1548,58.5
25531,haddock,haddock,W22,https://haddock.app,https://www.ycombinator.com/companies/haddock,"Barcelona, Spain",Spain,40.0,AI agents to run restaurant operations,haddocking,Series A (low traction),171,225,3.17,5,11,5.62,35.58,254,88,0.94,0.78,https://linkedin.com/in/arnaunavarro,https://x.com/arnaunavarro,2026-03-09T08:55:10.718847+00:00,1.0,2.5,40.0,5.420534999272286,3.5995016429627196,1.4279160358107101,1.791759469228055,2.4849066497880004,5.541263545158426,4.48863636973214,0.6626879730752367,0.5766133643039938,1.252762968495368,0.7390419239113216,0.0901777591230862,0.4749364423246821,0.704709545645273,0.036244936066453154,0.10277293245597564,0.27071209946118086,0.6085903963928371,1.005961993197652,-2.058633919274698,0.0631,53.9
25317,Peakflo,peakflo,W22,https://peakflo.co,https://www.ycombinator.com/companies/peakflo,Singapore,Singapore,45.0,Agentic workflows that automate your back‑office operations,peakflo,Series A (low traction),121,138,7.12,4,10,3.07,20.57,50,5,0.95,1.0,https://linkedin.com/in/saurabh-chauhan,https://x.com/dima_vedenyapin,2026-03-09T08:55:10.718847+00:00,14.0,31.1,45.0,4.9344739331306915,3.071303460401065,2.0943301541735866,1.6094379124341003,2.3978952727983707,3.9318256327243257,1.791759469228055,0.6678293725756554,0.6931471805599453,3.4688560301359703,-0.09160133564033185,-0.8194601571561541,1.236872658208925,0.05150683972820668,-0.07862301117548284,-0.46007846050898304,-0.9452017314738762,0.6525140630873442,1.4746928631161567,-0.045677955523536866,0.0404,52.7
26303,Massdriver,massdriver,W22,https://massdriver.cloud,https://www.ycombinator.com/companies/massdriver,"Los Angeles, CA, USA",United States of America,11.0,"Deploy secure, scalable cloud infrastructure in minutes not days",massdriver-cloud,Pre-A,88,187,0.89,5,2,17.0,56.38,7,4,0.95,0.29,https://linkedin.com/in/coryodaniel,https://x.com/coryodaniel,2026-03-09T08:55:10.718847+00:00,6.0,54.5,11.0,5.236441962829949,4.049695810553219,0.636576829071551,1.791759469228055,1.0986122886681096,2.0794415416798357,1.6094379124341003,0.6678293725756554,0.2546422183735807,4.0163830207523885,0.4244402195100928,0.8654808518789727,-0.4298313050106985,0.704709545645273,-1.7938696195725392,-1.1078928048185905,-1.0274032225919707,0.6525140630873442,-0.2890939842805833,0.4516602385052423,0.021,51.8
