id,name,slug,batch,website,yc_url,location,region,teamSize,oneLiner,github_org,commit_velocity_30d,commit_velocity_90d,acceleration_ratio,active_repos,contributors,commits_per_employee,stabilized_efficiency,total_stars,total_forks,pr_merge_rate,issue_close_rate,founder_linkedin,founder_twitter,open_jobs,hiring_intensity,best_headcount,stage,log_commit,log_eff,log_accel,log_repos,log_contrib,log_stars,log_forks,log_pr,log_issues,log_hiring,log_commit_z,log_eff_z,log_accel_z,log_repos_z,log_contrib_z,log_stars_z,log_forks_z,log_pr_z,log_issues_z,log_hiring_z,raw_score,final_score
29325,Respan,respan,W24,https://respan.ai,https://www.ycombinator.com/companies/respan,"San Francisco, CA, USA",United States of America,10.0,"Self-driving observability, evals, and gateway for AI agents",respanai,162,295,1.22,5,6,29.5,93.29,36,13,0.89,0.0,https://linkedin.com/in/hanheli,https://x.com/raymond_huang26,6.0,60.0,10.0,Pre-A,5.69035945432406,4.546375139477586,0.7975071958841881,1.791759469228055,1.9459101490553132,3.6109179126442243,2.639057329615259,0.636576829071551,0.0,4.110873864173311,1.2942374691629435,1.713294463005316,-0.09962921538784776,0.6872377678602731,-0.523732363956805,-0.42713064665639655,-0.42586100643492997,0.40231102679099673,-1.0681221569819803,0.532890780174198,0.4564,71.6
30303,AfterQuery,afterquery,W25,https://afterquery.com,https://www.ycombinator.com/companies/afterquery,"San Francisco, CA, USA",United States of America,20.0,Research lab investigating the boundaries of AI capabilities.,AfterQuery,103,125,4.68,5,8,6.25,27.95,11,18,0.91,0.5,https://linkedin.com/in/danny1898,https://x.com/CarlosGeorgescu,31.0,155.0,20.0,Series A (low traction),4.836281906951478,3.3655702040190043,1.7369512327330598,1.791759469228055,2.1972245773362196,2.4849066497880004,2.9444389791664403,0.6471032420585385,0.4054651081081644,5.049856007249537,-0.07278663225196083,-0.07929177646184664,1.113338088323561,0.6872377678602731,-0.20186827866170381,-0.8132925452116173,-0.2918512617791154,0.5406485169167627,0.5113393419597619,1.3424352501521422,0.2901,64.3
25174,GrowthBook,growthbook,W22,https://www.growthbook.io,https://www.ycombinator.com/companies/growthbook,"Palo Alto, CA, USA",United States of America,25.0,Open source feature flagging and A/B testing,growthbook,114,168,2.11,5,22,6.72,33.6,7431,764,0.88,0.6,https://linkedin.com/in/grahammcnicoll,https://x.com/growth_book,1.0,4.0,25.0,Series B/C,5.1298987149230735,3.543853682063679,1.1346227261911428,1.791759469228055,3.1354942159291497,8.913550280493675,6.639875833826536,0.6312717768418579,0.4700036292457356,1.6094379124341003,0.39717216049755116,0.19136131777095555,0.3356389855869059,0.6872377678602731,0.9997949169281803,1.3913898691286837,1.329806588365175,0.3325923475648388,0.7627447213549191,-1.6237249304294745,0.2671,63.3
28115,Vellum,vellum,W23,https://www.vellum.ai/,https://www.ycombinator.com/companies/vellum,"New York, NY, USA",United States of America,23.0,The AI Product Development Platform,vellum-ai,70,242,0.41,5,7,10.52,50.46,94,31,0.75,0.0,https://linkedin.com/in/akash-sharma53,,24.0,104.3,23.0,Series A (low traction),5.493061443340548,3.940804806853598,0.3435897043900769,1.791759469228055,2.0794415416798357,4.553876891600541,3.4657359027997265,0.5596157879354227,0.0,4.6568134191399295,0.9784451421015405,0.7939749270738962,-0.6857067827242309,0.6872377678602731,-0.35271568242655366,-0.10374593321240796,-0.063092042852144,-0.6091063745021945,-1.0681221569819803,1.0035731578150766,0.2387,62.0
28216,Escape,escape,W23,https://escape.tech,https://www.ycombinator.com/companies/escape,"New York, NY, USA",United States of America,29.0,The only DAST that works with modern stack and tests business logic,Escape-Technologies,34,141,0.32,5,8,4.86,26.18,621,53,0.76,0.6,https://linkedin.com/in/tkalos,https://x.com/escapetechhq,37.0,127.6,29.0,Series A,4.955827057601261,3.3024814087229974,0.2776317365982795,1.791759469228055,2.1972245773362196,6.432940092739179,3.9889840465642745,0.5653138090500605,0.4700036292457356,4.856706811803519,0.11855559732457445,-0.1750672114351614,-0.7708687031926993,0.6872377678602731,-0.20186827866170381,0.5406726771453104,0.1665234243528165,-0.5342233216847698,0.7627447213549191,1.175911462445436,0.1858,59.7
25531,haddock,haddock,W22,https://haddock.app,https://www.ycombinator.com/companies/haddock,"Barcelona, Spain",Spain,40.0,AI agents to run restaurant operations,haddocking,137,181,3.11,5,10,4.53,28.62,261,89,0.95,0.85,https://linkedin.com/in/arnaunavarro,https://x.com/haddock_app,1.0,2.5,40.0,Series A (low traction),5.204006687076795,3.3884498088396526,1.4134230285081433,1.791759469228055,2.3978952727983707,5.568344503761097,4.499809670330265,0.6678293725756554,0.6151856390902335,1.252762968495368,0.5157883029693633,-0.044558126953502974,0.6956132232325061,0.6872377678602731,0.0551352299799217,0.2441624332998394,0.39068755309184394,0.8130300850066103,1.3282912759235392,-1.9312326190201552,0.1028,56.1
25315,Rebill,rebill,W22,https://www.rebill.com,https://www.ycombinator.com/companies/rebill,"Buenos Aires, Argentina",Argentina,12.0,Payment infrastructure designed for LATAM.,Rebilly,50,126,0.66,5,5,10.5,36.37,121,45,0.92,0.8,https://linkedin.com/in/diazailan,https://x.com/rebillteam,3.0,25.0,12.0,Pre-A,4.844187086458591,3.6208682434973927,0.5068176023684519,1.791759469228055,1.791759469228055,4.804021044733257,3.828641396489095,0.6523251860396903,0.5877866649021191,3.258096538021482,-0.06013371689845521,0.3082775322268667,-0.4749543637026379,0.6872377678602731,-0.7211566340220349,-0.017959809864766568,0.09616072369417668,0.6092749925094343,1.2215604525426016,-0.2023321136787984,0.0976,55.8
29286,PointOne,pointone,W24,https://pointone.com/,https://www.ycombinator.com/companies/pointone,"New York, NY, USA",United States of America,15.0,AI Time Platform for Law Firms,PointOneNav,43,79,1.19,5,8,5.27,20.4,58,29,0.98,0.75,https://linkedin.com/in/katon-luaces,https://x.com/PointOneAI,15.0,100.0,15.0,Series A (low traction),4.382026634673881,3.0633909220278057,0.7839015438284094,1.791759469228055,2.1972245773362196,4.07753744390572,3.4011973816621555,0.6830968447064438,0.5596157879354227,4.61512051684126,-0.7998610147932097,-0.5380317482245156,-0.11719621293321439,0.6872377678602731,-0.20186827866170381,-0.2671049967904998,-0.09141329513046817,1.0136742909435446,1.1118227348683793,0.9676275770155929,0.0739,54.8
29368,CodeAnt AI,codeant-ai,W24,https://codeant.ai/,https://www.ycombinator.com/companies/codeant-ai,"San Francisco, CA, USA",United States of America,10.0,AI Code Health Platform,CodeAnt-AI,45,65,2.25,4,9,6.5,20.55,4,0,0.92,1.0,https://linkedin.com/in/amartya-jha,https://x.com/chhinna00,17.0,170.0,10.0,Pre-A,4.189654742026425,3.070375816549757,1.1786549963416462,1.6094379124341003,2.302585092994046,1.6094379124341003,0.0,0.6523251860396903,0.6931471805599453,5.14166355650266,-1.1077686684868058,-0.527427942779447,0.3924914450265313,0.0738664900660399,-0.06693067786258998,-1.1135316999113436,-1.5839508896796142,0.6092749925094343,1.6319851097138218,1.4215872280125563,-0.0054,51.3
27690,Credal.ai,credal-ai,W23,https://credal.ai,https://www.ycombinator.com/companies/credal-ai,"New York, NY, USA",United States of America,14.0,Connect AI to every tool. Enterprise security built in.,Credal-ai,46,118,0.64,3,16,8.43,31.54,85,9,0.78,0.0,https://linkedin.com/in/ravin-thambapillai-77aa0a11,https://x.com/ravin_tham,14.0,100.0,14.0,Pre-A,4.77912349311153,3.482470101790892,0.49469624183610705,1.3862943611198906,2.833213344056216,4.454347296253507,2.302585092994046,0.5766133643039938,0.0,4.61512051684126,-0.16427355818536232,0.09817457877456744,-0.49060491171351145,-0.6768392827890003,0.612656951976809,-0.13787928406731043,-0.5735141433527803,-0.3857252421111414,-1.0681221569819803,0.9676275770155929,-0.0442,49.6
